Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2004 Regular Season,AFC East Team,13,2,0,.867,397,238,159,45,8-0,5-2,5-1,.833,10-2,.833,3-0,W2,4-1
New York Jets,American Football Conference - 2004 Regular Season,AFC East Team,10,5,0,.667,304,229,75,35,6-2,4-3,3-3,.500,7-5,.583,3-0,L1,3-2
Buffalo Bills,American Football Conference - 2004 Regular Season,AFC East Team,9,7,0,.562,395,284,111,46,5-3,4-4,3-3,.500,5-7,.417,4-0,L1,4-1
Miami Dolphins,American Football Conference - 2004 Regular Season,AFC East Team,4,12,0,.250,275,354,-79,31,3-5,1-7,1-5,.167,2-10,.167,2-2,L1,2-3
Pittsburgh Steelers,American Football Conference - 2004 Regular Season,AFC North Team,15,1,0,.938,372,251,121,41,8-0,7-1,5-1,.833,11-1,.917,4-0,W14,5-0
Baltimore Ravens,American Football Conference - 2004 Regular Season,AFC North Team,9,6,0,.600,307,248,59,32,6-2,3-4,3-3,.500,6-5,.545,3-1,W1,2-3
Cincinnati Bengals,American Football Conference - 2004 Regular Season,AFC North Team,8,8,0,.500,374,372,2,42,5-3,3-5,2-4,.333,4-8,.333,4-0,W2,3-2
Cleveland Browns,American Football Conference - 2004 Regular Season,AFC North Team,3,12,0,.200,254,376,-122,28,3-5,0-7,2-4,.333,2-9,.182,1-3,L9,0-5
Houston Texans,American Football Conference - 2004 Regular Season,AFC South Team,7,4,0,.636,232,197,35,28,3-2,4-2,4-1,.800,6-3,.667,1-1,W2,3-2
Jacksonville Jaguars,American Football Conference - 2004 Regular Season,AFC South Team,8,6,0,.571,218,229,-11,23,4-4,4-2,1-4,.200,5-6,.455,3-0,W1,3-2
Indianapolis Colts,American Football Conference - 2004 Regular Season,AFC South Team,4,3,0,.571,192,163,29,24,0-0,4-3,3-0,1.000,3-3,.500,1-0,L1,3-2
Tennessee Titans,American Football Conference - 2004 Regular Season,AFC South Team,5,9,0,.357,317,368,-51,38,2-6,3-3,1-4,.200,3-8,.273,2-1,W1,1-4
San Diego Chargers,American Football Conference - 2004 Regular Season,AFC West Team,11,2,0,.846,368,238,130,46,7-1,4-1,5-1,.833,8-2,.800,3-0,W11,5-0
Denver Broncos,American Football Conference - 2004 Regular Season,AFC West Team,9,6,0,.600,347,291,56,38,6-2,3-4,3-3,.500,7-5,.583,2-1,W2,3-2
Kansas City Chiefs,American Football Conference - 2004 Regular Season,AFC West Team,7,8,0,.467,463,408,55,60,4-4,3-4,3-3,.500,6-6,.500,1-2,L1,4-1
Oakland Raiders,American Football Conference - 2004 Regular Season,AFC West Team,5,9,0,.357,296,372,-76,32,3-5,2-4,1-5,.167,3-8,.273,2-1,L2,2-3
Philadelphia Eagles,National Football Conference - 2004 Regular Season,NFC East Team,12,2,0,.857,349,227,122,40,7-1,5-1,6-0,1.000,10-0,1.000,2-2,L1,4-1
Dallas Cowboys,National Football Conference - 2004 Regular Season,NFC East Team,6,9,0,.400,276,370,-94,31,4-4,2-5,2-4,.333,5-6,.455,1-3,L1,2-3
New York Giants,National Football Conference - 2004 Regular Season,NFC East Team,5,10,0,.333,269,334,-65,30,3-5,2-5,3-3,.500,4-7,.364,1-3,W1,1-4
Washington Redskins,National Football Conference - 2004 Regular Season,NFC East Team,5,10,0,.333,223,255,-32,24,3-5,2-5,1-5,.167,5-6,.455,0-4,W1,3-2
Green Bay Packers,National Football Conference - 2004 Regular Season,NFC North Team,7,5,0,.583,305,281,24,36,4-4,3-1,3-1,.750,7-3,.700,0-2,W1,3-2
Chicago Bears,National Football Conference - 2004 Regular Season,NFC North Team,5,9,0,.357,196,285,-89,22,2-6,3-3,2-2,.500,4-6,.400,1-3,L3,1-4
Detroit Lions,National Football Conference - 2004 Regular Season,NFC North Team,2,4,0,.333,118,123,-5,14,0-0,2-4,1-1,.500,2-2,.500,0-2,L4,1-4
Minnesota Vikings,National Football Conference - 2004 Regular Season,NFC North Team,1,4,0,.200,113,134,-21,14,0-0,1-4,0-2,.000,0-4,.000,1-0,L3,1-4
New Orleans Saints,National Football Conference - 2004 Regular Season,NFC South Team,4,2,0,.667,127,151,-24,16,0-0,4-2,2-0,1.000,3-1,.750,1-1,W3,4-1
Atlanta Falcons,National Football Conference - 2004 Regular Season,NFC South Team,4,3,0,.571,139,178,-39,17,0-0,4-3,1-1,.500,3-2,.600,1-1,L2,2-3
Carolina Panthers,National Football Conference - 2004 Regular Season,NFC South Team,6,8,0,.429,292,284,8,36,3-5,3-3,2-2,.500,5-5,.500,1-3,L1,4-1
Tampa Bay Buccaneers,National Football Conference - 2004 Regular Season,NFC South Team,4,9,0,.308,246,235,11,30,4-4,0-5,1-3,.250,3-6,.333,1-3,L4,1-4
Seattle Seahawks,National Football Conference - 2004 Regular Season,NFC West Team,7,6,0,.538,311,320,-9,37,5-3,2-3,3-2,.600,6-3,.667,1-3,W2,2-3
Arizona Cardinals,National Football Conference - 2004 Regular Season,NFC West Team,6,7,0,.462,259,273,-14,29,5-3,1-4,2-3,.400,5-4,.556,1-3,W1,2-3
St. Louis Rams,National Football Conference - 2004 Regular Season,NFC West Team,2,5,0,.286,119,205,-86,15,0-0,2-5,2-1,.667,2-3,.400,0-2,L5,0-5
San Francisco 49ers,National Football Conference - 2004 Regular Season,NFC West Team,2,12,0,.143,226,406,-180,26,1-7,1-5,2-3,.400,2-8,.200,0-4,L3,1-4
