Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2006 Preseason,AFC East Team,2,1,0,.667,94,34,60,10,2-0,0-1,0-0,.000,0-0,.000,2-1,L1,2-1
Miami Dolphins,American Football Conference - 2006 Preseason,AFC East Team,2,2,0,.500,78,69,9,7,1-1,1-1,0-0,.000,0-1,.000,2-1,W1,2-2
New York Jets,American Football Conference - 2006 Preseason,AFC East Team,2,2,0,.500,57,60,-3,6,1-1,1-1,0-0,.000,0-0,.000,2-2,W1,2-2
Buffalo Bills,American Football Conference - 2006 Preseason,AFC East Team,0,3,0,.000,61,78,-17,7,0-2,0-1,0-0,.000,0-2,.000,0-1,L3,0-3
Cincinnati Bengals,American Football Conference - 2006 Preseason,AFC North Team,3,0,0,1.000,111,51,60,13,2-0,1-0,0-0,.000,1-0,1.000,2-0,W3,3-0
Baltimore Ravens,American Football Conference - 2006 Preseason,AFC North Team,2,1,0,.667,53,37,16,5,1-1,1-0,0-0,.000,0-0,.000,2-1,W2,2-1
Cleveland Browns,American Football Conference - 2006 Preseason,AFC North Team,2,2,0,.500,54,73,-19,6,1-1,1-1,0-0,.000,1-0,1.000,1-2,L1,2-2
Pittsburgh Steelers,American Football Conference - 2006 Preseason,AFC North Team,0,4,0,.000,43,69,-26,4,0-2,0-2,0-0,.000,0-0,.000,0-4,L4,0-4
Jacksonville Jaguars,American Football Conference - 2006 Preseason,AFC South Team,2,1,0,.667,70,61,9,9,1-1,1-0,0-0,.000,1-0,1.000,1-1,W1,2-1
Houston Texans,American Football Conference - 2006 Preseason,AFC South Team,2,1,0,.667,54,44,10,5,2-0,0-1,0-0,.000,1-1,.500,1-0,W1,2-1
Tennessee Titans,American Football Conference - 2006 Preseason,AFC South Team,1,3,0,.250,67,95,-28,7,0-2,1-1,0-0,.000,0-1,.000,1-2,W1,1-3
Indianapolis Colts,American Football Conference - 2006 Preseason,AFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Denver Broncos,American Football Conference - 2006 Preseason,AFC West Team,3,0,0,1.000,81,47,34,11,2-0,1-0,0-0,.000,2-0,1.000,1-0,W3,3-0
Oakland Raiders,American Football Conference - 2006 Preseason,AFC West Team,3,1,0,.750,67,50,17,7,2-0,1-1,0-0,.000,0-0,.000,3-1,L1,3-1
Kansas City Chiefs,American Football Conference - 2006 Preseason,AFC West Team,2,2,0,.500,40,62,-22,4,2-0,0-2,0-0,.000,0-1,.000,2-1,W2,2-2
San Diego Chargers,American Football Conference - 2006 Preseason,AFC West Team,2,2,0,.500,65,70,-5,8,2-0,0-2,0-0,.000,0-0,.000,2-2,L1,2-2
New York Giants,National Football Conference - 2006 Preseason,NFC East Team,4,0,0,1.000,78,46,32,9,2-0,2-0,0-0,.000,0-0,.000,4-0,W4,4-0
Dallas Cowboys,National Football Conference - 2006 Preseason,NFC East Team,2,0,1,.833,40,20,20,4,1-0-1,1-0,0-0,.000,2-0-1,.833,0-0,T1,2-0-1
Philadelphia Eagles,National Football Conference - 2006 Preseason,NFC East Team,2,3,0,.400,73,70,3,7,2-1,0-2,0-0,.000,0-0,.000,2-3,L1,2-3
Washington Redskins,National Football Conference - 2006 Preseason,NFC East Team,0,4,0,.000,27,104,-77,3,0-2,0-2,0-0,.000,0-0,.000,0-4,L4,0-4
Minnesota Vikings,National Football Conference - 2006 Preseason,NFC North Team,1,0,1,.750,27,20,7,3,0-0,1-0-1,0-0,.000,0-0-1,.500,1-0,T1,1-0-1
Chicago Bears,National Football Conference - 2006 Preseason,NFC North Team,2,2,0,.500,74,61,13,8,1-1,1-1,0-0,.000,0-2,.000,2-0,W1,2-2
Green Bay Packers,National Football Conference - 2006 Preseason,NFC North Team,1,3,0,.250,79,110,-31,10,1-1,0-2,0-0,.000,1-0,1.000,0-3,L2,1-3
Detroit Lions,National Football Conference - 2006 Preseason,NFC North Team,0,2,0,.000,19,41,-22,1,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
Carolina Panthers,National Football Conference - 2006 Preseason,NFC South Team,4,0,0,1.000,65,46,19,5,2-0,2-0,0-0,.000,0-0,.000,4-0,W4,4-0
New Orleans Saints,National Football Conference - 2006 Preseason,NFC South Team,1,1,0,.500,28,26,2,2,0-0,1-1,0-0,.000,0-0,.000,1-1,L1,1-1
Atlanta Falcons,National Football Conference - 2006 Preseason,NFC South Team,1,1,0,.500,30,44,-14,3,0-0,1-1,0-0,.000,0-1,.000,1-0,W1,1-1
Tampa Bay Buccaneers,National Football Conference - 2006 Preseason,NFC South Team,1,3,0,.250,57,61,-4,6,1-1,0-2,0-0,.000,0-0,.000,1-3,L3,1-3
San Francisco 49ers,National Football Conference - 2006 Preseason,NFC West Team,2,2,0,.500,65,68,-3,7,2-0,0-2,0-0,.000,1-1,.500,1-1,W1,2-2
Arizona Cardinals,National Football Conference - 2006 Preseason,NFC West Team,2,2,0,.500,70,88,-18,7,1-1,1-1,0-0,.000,1-0,1.000,1-2,L1,2-2
Seattle Seahawks,National Football Conference - 2006 Preseason,NFC West Team,1,2,0,.333,53,51,2,5,1-1,0-1,0-0,.000,0-1,.000,1-1,W1,1-2
St. Louis Rams,National Football Conference - 2006 Preseason,NFC West Team,0,2,0,.000,21,45,-24,1,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
