Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New York Jets,American Football Conference - 2006 Regular Season,AFC East Team,1,0,0,1.000,26,13,13,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
New England Patriots,American Football Conference - 2006 Regular Season,AFC East Team,1,0,0,1.000,31,7,24,4,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Miami Dolphins,American Football Conference - 2006 Regular Season,AFC East Team,1,2,0,.333,64,54,10,5,0-0,1-2,0-0,.000,0-2,.000,1-0,L1,1-2
Buffalo Bills,American Football Conference - 2006 Regular Season,AFC East Team,0,2,0,.000,33,37,-4,3,0-0,0-2,0-0,.000,0-1,.000,0-1,L2,0-2
Baltimore Ravens,American Football Conference - 2006 Regular Season,AFC North Team,1,0,0,1.000,35,22,13,5,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Cleveland Browns,American Football Conference - 2006 Regular Season,AFC North Team,1,0,0,1.000,17,13,4,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Cincinnati Bengals,American Football Conference - 2006 Regular Season,AFC North Team,1,1,0,.500,47,50,-3,5,0-0,1-1,0-0,.000,0-1,.000,1-0,L1,1-1
Pittsburgh Steelers,American Football Conference - 2006 Regular Season,AFC North Team,0,1,0,.000,38,41,-3,5,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Indianapolis Colts,American Football Conference - 2006 Regular Season,AFC South Team,8,0,0,1.000,237,148,89,29,8-0,0-0,3-0,1.000,6-0,1.000,2-0,W8,5-0
Houston Texans,American Football Conference - 2006 Regular Season,AFC South Team,1,2,0,.333,51,82,-31,6,1-1,0-1,0-1,.000,1-1,.500,0-1,W1,1-2
Tennessee Titans,American Football Conference - 2006 Regular Season,AFC South Team,0,1,0,.000,13,14,-1,1,0-0,0-1,0-1,.000,0-1,.000,0-0,L1,0-1
Jacksonville Jaguars,American Football Conference - 2006 Regular Season,AFC South Team,0,1,0,.000,14,21,-7,2,0-0,0-1,0-1,.000,0-1,.000,0-0,L1,0-1
Kansas City Chiefs,American Football Conference - 2006 Regular Season,AFC West Team,2,0,0,1.000,54,37,17,6,0-0,2-0,0-0,.000,0-0,.000,2-0,W2,2-0
Oakland Raiders,American Football Conference - 2006 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Denver Broncos,American Football Conference - 2006 Regular Season,AFC West Team,0,1,0,.000,10,18,-8,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
San Diego Chargers,American Football Conference - 2006 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Dallas Cowboys,National Football Conference - 2006 Regular Season,NFC East Team,1,0,0,1.000,38,28,10,5,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
New York Giants,National Football Conference - 2006 Regular Season,NFC East Team,1,0,0,1.000,27,14,13,3,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Washington Redskins,National Football Conference - 2006 Regular Season,NFC East Team,1,2,0,.333,69,83,-14,8,0-0,1-2,0-0,.000,1-1,.500,0-1,L1,1-2
Philadelphia Eagles,National Football Conference - 2006 Regular Season,NFC East Team,1,2,0,.333,69,82,-13,9,0-0,1-2,0-0,.000,0-1,.000,1-1,L2,1-2
Green Bay Packers,National Football Conference - 2006 Regular Season,NFC North Team,2,0,0,1.000,54,41,13,6,0-0,2-0,2-0,1.000,2-0,1.000,0-0,W2,2-0
Chicago Bears,National Football Conference - 2006 Regular Season,NFC North Team,3,0,0,1.000,87,64,23,9,0-0,3-0,2-0,1.000,3-0,1.000,0-0,W3,3-0
Minnesota Vikings,National Football Conference - 2006 Regular Season,NFC North Team,4,5,0,.444,177,216,-39,21,3-5,1-0,2-2,.500,4-3,.571,0-2,L2,2-3
Detroit Lions,National Football Conference - 2006 Regular Season,NFC North Team,2,9,0,.182,205,257,-52,22,2-6,0-3,0-4,.000,1-8,.111,1-1,L5,0-5
Carolina Panthers,National Football Conference - 2006 Regular Season,NFC South Team,2,1,0,.667,54,40,14,6,0-0,2-1,2-0,1.000,2-1,.667,0-0,W2,2-1
New Orleans Saints,National Football Conference - 2006 Regular Season,NFC South Team,5,4,0,.556,208,184,24,25,4-4,1-0,3-1,.750,5-2,.714,0-2,L2,2-3
Atlanta Falcons,National Football Conference - 2006 Regular Season,NFC South Team,3,7,0,.300,175,227,-52,19,3-5,0-2,1-3,.250,2-6,.250,1-1,L5,0-5
Tampa Bay Buccaneers,National Football Conference - 2006 Regular Season,NFC South Team,0,2,0,.000,24,38,-14,3,0-0,0-2,0-2,.000,0-2,.000,0-0,L2,0-2
Seattle Seahawks,National Football Conference - 2006 Regular Season,NFC West Team,2,0,0,1.000,39,34,5,3,0-0,2-0,1-0,1.000,2-0,1.000,0-0,W2,2-0
St. Louis Rams,National Football Conference - 2006 Regular Season,NFC West Team,6,4,0,.600,265,264,1,29,4-4,2-0,2-2,.500,5-3,.625,1-1,W2,3-2
Arizona Cardinals,National Football Conference - 2006 Regular Season,NFC West Team,3,4,0,.429,155,159,-4,18,2-2,1-2,2-1,.667,3-3,.500,0-1,W1,2-3
San Francisco 49ers,National Football Conference - 2006 Regular Season,NFC West Team,1,3,0,.250,73,101,-28,7,0-0,1-3,0-2,.000,1-3,.250,0-0,L2,1-3
