Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New York Jets,American Football Conference - 2007 Preseason,AFC East Team,3,1,0,.750,84,76,8,10,1-1,2-0,0-0,.000,0-0,.000,3-1,2W,3-1
New England Patriots,American Football Conference - 2007 Preseason,AFC East Team,2,2,0,.500,85,67,18,10,1-1,1-1,0-0,.000,0-1,.000,2-1,2W,2-2
Buffalo Bills,American Football Conference - 2007 Preseason,AFC East Team,2,2,0,.500,56,64,-8,5,0-2,2-0,0-0,.000,0-1,.000,2-1,1W,2-2
Miami Dolphins,American Football Conference - 2007 Preseason,AFC East Team,2,2,0,.500,57,65,-8,7,1-1,1-1,0-0,.000,2-0,1.000,0-2,2L,2-2
Pittsburgh Steelers,American Football Conference - 2007 Preseason,AFC North Team,4,1,0,.800,87,46,41,7,2-1,2-0,0-0,.000,0-0,.000,4-1,3W,4-1
Cleveland Browns,American Football Conference - 2007 Preseason,AFC North Team,3,1,0,.750,72,60,12,8,1-1,2-0,0-0,.000,2-0,1.000,1-1,2W,3-1
Baltimore Ravens,American Football Conference - 2007 Preseason,AFC North Team,1,3,0,.250,58,42,16,4,1-1,0-2,0-0,.000,0-0,.000,1-3,3L,1-3
Cincinnati Bengals,American Football Conference - 2007 Preseason,AFC North Team,1,3,0,.250,78,84,-6,8,1-1,0-2,0-0,.000,1-0,1.000,0-3,1W,1-3
Tennessee Titans,American Football Conference - 2007 Preseason,AFC South Team,3,1,0,.750,91,69,22,10,1-1,2-0,0-0,.000,2-0,1.000,1-1,3W,3-1
Jacksonville Jaguars,American Football Conference - 2007 Preseason,AFC South Team,3,1,0,.750,100,64,36,13,2-0,1-1,0-0,.000,0-1,.000,3-0,3W,3-1
Houston Texans,American Football Conference - 2007 Preseason,AFC South Team,2,2,0,.500,104,87,17,11,1-1,1-1,0-0,.000,0-0,.000,2-2,1L,2-2
Indianapolis Colts,American Football Conference - 2007 Preseason,AFC South Team,1,3,0,.250,77,74,3,10,1-1,0-2,0-0,.000,0-1,.000,1-2,1L,1-3
San Diego Chargers,American Football Conference - 2007 Preseason,AFC West Team,3,1,0,.750,95,81,14,9,1-1,2-0,0-0,.000,0-0,.000,3-1,3W,3-1
Denver Broncos,American Football Conference - 2007 Preseason,AFC West Team,2,2,0,.500,74,64,10,9,1-1,1-1,0-0,.000,0-1,.000,2-1,1W,2-2
Oakland Raiders,American Football Conference - 2007 Preseason,AFC West Team,2,2,0,.500,82,78,4,10,2-0,0-2,0-0,.000,0-0,.000,2-2,1L,2-2
Kansas City Chiefs,American Football Conference - 2007 Preseason,AFC West Team,0,4,0,.000,32,67,-35,3,0-2,0-2,0-0,.000,0-2,.000,0-2,4L,0-4
Dallas Cowboys,National Football Conference - 2007 Preseason,NFC East Team,2,2,0,.500,84,81,3,10,2-0,0-2,0-0,.000,0-1,.000,2-1,2L,2-2
Washington Redskins,National Football Conference - 2007 Preseason,NFC East Team,2,2,0,.500,51,56,-5,6,1-1,1-1,0-0,.000,0-0,.000,2-2,1L,2-2
Philadelphia Eagles,National Football Conference - 2007 Preseason,NFC East Team,1,3,0,.250,54,79,-25,5,1-1,0-2,0-0,.000,1-0,1.000,0-3,2L,1-3
New York Giants,National Football Conference - 2007 Preseason,NFC East Team,1,3,0,.250,66,83,-17,7,0-2,1-1,0-0,.000,0-1,.000,1-2,2L,1-3
Chicago Bears,National Football Conference - 2007 Preseason,NFC North Team,3,1,0,.750,87,90,-3,10,1-1,2-0,0-0,.000,1-0,1.000,2-1,1L,3-1
Green Bay Packers,National Football Conference - 2007 Preseason,NFC North Team,2,2,0,.500,88,73,15,10,1-1,1-1,0-0,.000,1-0,1.000,1-2,2L,2-2
Minnesota Vikings,National Football Conference - 2007 Preseason,NFC North Team,2,2,0,.500,83,77,6,8,1-1,1-1,0-0,.000,1-2,.333,1-0,1W,2-2
Detroit Lions,National Football Conference - 2007 Preseason,NFC North Team,2,2,0,.500,73,99,-26,7,1-1,1-1,0-0,.000,0-0,.000,2-2,2L,2-2
Atlanta Falcons,National Football Conference - 2007 Preseason,NFC South Team,3,1,0,.750,66,70,-4,6,2-0,1-1,0-0,.000,0-0,.000,3-1,3W,3-1
Tampa Bay Buccaneers,National Football Conference - 2007 Preseason,NFC South Team,3,1,0,.750,94,93,1,12,2-0,1-1,0-0,.000,0-0,.000,3-1,2W,3-1
New Orleans Saints,National Football Conference - 2007 Preseason,NFC South Team,3,2,0,.600,81,59,22,9,1-1,2-1,0-0,.000,0-0,.000,3-2,3W,3-2
Carolina Panthers,National Football Conference - 2007 Preseason,NFC South Team,1,3,0,.250,44,91,-47,5,0-2,1-1,0-0,.000,1-1,.500,0-2,3L,1-3
Seattle Seahawks,National Football Conference - 2007 Preseason,NFC West Team,3,1,0,.750,86,91,-5,9,2-0,1-1,0-0,.000,1-1,.500,2-0,2W,3-1
St. Louis Rams,National Football Conference - 2007 Preseason,NFC West Team,2,2,0,.500,46,63,-17,4,1-1,1-1,0-0,.000,1-0,1.000,1-2,1W,2-2
San Francisco 49ers,National Football Conference - 2007 Preseason,NFC West Team,1,3,0,.250,80,85,-5,9,1-1,0-2,0-0,.000,0-1,.000,1-2,2L,1-3
Arizona Cardinals,National Football Conference - 2007 Preseason,NFC West Team,0,4,0,.000,77,114,-37,8,0-2,0-2,0-0,.000,0-0,.000,0-4,4L,0-4
