Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
Miami Dolphins,American Football Conference - 2008 Regular Season,AFC East Team,11,5,0,.688,345,317,28,40,5-3,6-2,4-2,.667,8-4,.667,3-1,5W,5-0
New England Patriots,American Football Conference - 2008 Regular Season,AFC East Team,11,5,0,.688,410,309,101,43,5-3,6-2,4-2,.667,7-5,.583,4-0,4W,4-1
New York Jets,American Football Conference - 2008 Regular Season,AFC East Team,9,7,0,.563,405,356,49,48,5-3,4-4,4-2,.667,7-5,.583,2-2,2L,1-4
Buffalo Bills,American Football Conference - 2008 Regular Season,AFC East Team,7,9,0,.438,336,342,-6,35,3-5,4-4,0-6,.000,5-7,.417,2-2,1L,1-4
Pittsburgh Steelers,American Football Conference - 2008 Regular Season,AFC North Team,12,4,0,.750,347,223,124,38,6-2,6-2,6-0,1.000,10-2,.833,2-2,1W,4-1
Baltimore Ravens,American Football Conference - 2008 Regular Season,AFC North Team,11,5,0,.688,385,244,141,42,6-2,5-3,4-2,.667,8-4,.667,3-1,2W,4-1
Cincinnati Bengals,American Football Conference - 2008 Regular Season,AFC North Team,4,11,1,.281,204,364,-160,20,3-4-1,1-7,1-5,.167,3-9,.250,1-2-1,3W,3-2
Cleveland Browns,American Football Conference - 2008 Regular Season,AFC North Team,4,12,0,.250,232,350,-118,20,1-7,3-5,1-5,.167,3-9,.250,1-3,6L,0-5
Tennessee Titans,American Football Conference - 2008 Regular Season,AFC South Team,13,3,0,.813,375,234,141,41,7-1,6-2,4-2,.667,9-3,.750,4-0,1L,3-2
Indianapolis Colts,American Football Conference - 2008 Regular Season,AFC South Team,12,4,0,.750,377,298,79,45,6-2,6-2,4-2,.667,10-2,.833,2-2,9W,5-0
Houston Texans,American Football Conference - 2008 Regular Season,AFC South Team,8,8,0,.500,366,394,-28,40,6-2,2-6,2-4,.333,5-7,.417,3-1,1W,4-1
Jacksonville Jaguars,American Football Conference - 2008 Regular Season,AFC South Team,5,11,0,.313,302,367,-65,35,2-6,3-5,2-4,.333,3-9,.250,2-2,2L,1-4
San Diego Chargers,American Football Conference - 2008 Regular Season,AFC West Team,8,8,0,.500,439,347,92,51,5-3,3-5,5-1,.833,7-5,.583,1-3,4W,4-1
Denver Broncos,American Football Conference - 2008 Regular Season,AFC West Team,8,8,0,.500,370,448,-78,42,4-4,4-4,3-3,.500,5-7,.417,3-1,3L,2-3
Oakland Raiders,American Football Conference - 2008 Regular Season,AFC West Team,5,11,0,.313,263,388,-125,27,2-6,3-5,2-4,.333,4-8,.333,1-3,2W,2-3
Kansas City Chiefs,American Football Conference - 2008 Regular Season,AFC West Team,2,14,0,.125,291,440,-149,35,1-7,1-7,2-4,.333,2-10,.167,0-4,4L,1-4
New York Giants,National Football Conference - 2008 Regular Season,NFC East Team,12,4,0,.750,427,294,133,45,7-1,5-3,4-2,.667,9-3,.750,3-1,1L,2-3
Philadelphia Eagles,National Football Conference - 2008 Regular Season,NFC East Team,9,6,1,.594,416,289,127,45,6-2,3-4-1,2-4,.333,7-5,.583,2-1-1,1W,4-1
Dallas Cowboys,National Football Conference - 2008 Regular Season,NFC East Team,9,7,0,.563,362,365,-3,43,6-2,3-5,3-3,.500,7-5,.583,2-2,2L,2-3
Washington Redskins,National Football Conference - 2008 Regular Season,NFC East Team,8,8,0,.500,265,296,-31,27,4-4,4-4,3-3,.500,7-5,.583,1-3,1L,1-4
Minnesota Vikings,National Football Conference - 2008 Regular Season,NFC North Team,10,6,0,.625,379,333,46,41,6-2,4-4,4-2,.667,8-4,.667,2-2,1W,4-1
Chicago Bears,National Football Conference - 2008 Regular Season,NFC North Team,9,7,0,.563,375,350,25,42,6-2,3-5,4-2,.667,7-5,.583,2-2,1L,3-2
Green Bay Packers,National Football Conference - 2008 Regular Season,NFC North Team,6,10,0,.375,419,380,39,48,4-4,2-6,4-2,.667,5-7,.417,1-3,1W,1-4
Detroit Lions,National Football Conference - 2008 Regular Season,NFC North Team,0,16,0,.000,268,517,-249,29,0-8,0-8,0-6,.000,0-12,.000,0-4,16L,0-5
Carolina Panthers,National Football Conference - 2008 Regular Season,NFC South Team,12,4,0,.750,414,329,85,47,8-0,4-4,4-2,.667,8-4,.667,4-0,1W,4-1
Atlanta Falcons,National Football Conference - 2008 Regular Season,NFC South Team,11,5,0,.688,391,325,66,43,7-1,4-4,3-3,.500,8-4,.667,3-1,3W,4-1
Tampa Bay Buccaneers,National Football Conference - 2008 Regular Season,NFC South Team,9,7,0,.563,361,323,38,38,6-2,3-5,3-3,.500,8-4,.667,1-3,4L,1-4
New Orleans Saints,National Football Conference - 2008 Regular Season,NFC South Team,8,8,0,.500,463,393,70,57,6-2,2-6,2-4,.333,5-7,.417,3-1,1L,2-3
Arizona Cardinals,National Football Conference - 2008 Regular Season,NFC West Team,9,7,0,.563,427,426,1,51,6-2,3-5,6-0,1.000,7-5,.583,2-2,1W,2-3
San Francisco 49ers,National Football Conference - 2008 Regular Season,NFC West Team,7,9,0,.438,339,381,-42,36,4-4,3-5,3-3,.500,5-7,.417,2-2,2W,4-1
Seattle Seahawks,National Football Conference - 2008 Regular Season,NFC West Team,4,12,0,.250,294,392,-98,32,2-6,2-6,3-3,.500,3-9,.250,1-3,1L,2-3
St. Louis Rams,National Football Conference - 2008 Regular Season,NFC West Team,2,14,0,.125,232,465,-233,20,1-7,1-7,0-6,.000,2-10,.167,0-4,10L,0-5
