Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
Buffalo Bills,American Football Conference - 2010 Preseason,AFC East Team,2,1,0,.667,92,69,23,11,2-0,0-1,0-0,.000,2-0,1.000,0-1,L1,2-1
New England Patriots,American Football Conference - 2010 Preseason,AFC East Team,2,2,0,.500,107,90,17,14,1-1,1-1,0-0,.000,0-0,.000,2-2,L2,2-2
New York Jets,American Football Conference - 2010 Preseason,AFC East Team,0,2,0,.000,27,47,-20,2,0-2,0-0,0-0,.000,0-0,.000,0-2,L2,0-2
Miami Dolphins,American Football Conference - 2010 Preseason,AFC East Team,0,1,0,.000,25,27,-2,3,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Pittsburgh Steelers,American Football Conference - 2010 Preseason,AFC North Team,1,0,0,1.000,24,17,7,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Baltimore Ravens,American Football Conference - 2010 Preseason,AFC North Team,2,1,0,.667,62,49,13,8,2-0,0-1,0-0,.000,0-0,.000,2-1,L1,2-1
Cincinnati Bengals,American Football Conference - 2010 Preseason,AFC North Team,3,2,0,.600,112,112,0,12,2-1,1-1,0-0,.000,2-1,.667,1-1,W1,3-2
Cleveland Browns,American Football Conference - 2010 Preseason,AFC North Team,0,1,0,.000,27,35,-8,3,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Tennessee Titans,American Football Conference - 2010 Preseason,AFC South Team,0,1,0,.000,18,20,-2,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Houston Texans,American Football Conference - 2010 Preseason,AFC South Team,0,1,0,.000,20,38,-18,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Jacksonville Jaguars,American Football Conference - 2010 Preseason,AFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Indianapolis Colts,American Football Conference - 2010 Preseason,AFC South Team,0,3,0,.000,66,101,-35,8,0-2,0-1,0-0,.000,0-2,.000,0-1,L3,0-3
Oakland Raiders,American Football Conference - 2010 Preseason,AFC West Team,1,0,0,1.000,17,9,8,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
San Diego Chargers,American Football Conference - 2010 Preseason,AFC West Team,0,1,0,.000,21,36,-15,3,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Kansas City Chiefs,American Football Conference - 2010 Preseason,AFC West Team,0,1,0,.000,10,20,-10,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Denver Broncos,American Football Conference - 2010 Preseason,AFC West Team,0,2,0,.000,48,64,-16,6,0-0,0-2,0-0,.000,0-1,.000,0-1,L2,0-2
Washington Redskins,National Football Conference - 2010 Preseason,NFC East Team,1,0,0,1.000,16,11,5,1,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Dallas Cowboys,National Football Conference - 2010 Preseason,NFC East Team,2,1,0,.667,52,49,3,3,1-1,1-0,0-0,.000,0-0,.000,2-1,W1,2-1
New York Giants,National Football Conference - 2010 Preseason,NFC East Team,2,2,0,.500,78,81,-3,9,1-1,1-1,0-0,.000,0-0,.000,2-2,W1,2-2
Philadelphia Eagles,National Football Conference - 2010 Preseason,NFC East Team,0,1,0,.000,9,22,-13,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Minnesota Vikings,National Football Conference - 2010 Preseason,NFC North Team,3,0,0,1.000,83,44,39,11,2-0,1-0,0-0,.000,2-0,1.000,1-0,W3,3-0
Green Bay Packers,National Football Conference - 2010 Preseason,NFC North Team,1,0,0,1.000,27,24,3,3,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Detroit Lions,National Football Conference - 2010 Preseason,NFC North Team,2,0,0,1.000,63,50,13,9,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
Chicago Bears,National Football Conference - 2010 Preseason,NFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
New Orleans Saints,National Football Conference - 2010 Preseason,NFC South Team,2,1,0,.667,98,68,30,12,2-0,0-1,0-0,.000,0-0,.000,2-1,W2,2-1
Atlanta Falcons,National Football Conference - 2010 Preseason,NFC South Team,1,1,0,.500,30,38,-8,3,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Tampa Bay Buccaneers,National Football Conference - 2010 Preseason,NFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Carolina Panthers,National Football Conference - 2010 Preseason,NFC South Team,0,1,0,.000,12,17,-5,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
San Francisco 49ers,National Football Conference - 2010 Preseason,NFC West Team,1,0,0,1.000,37,17,20,4,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
St. Louis Rams,National Football Conference - 2010 Preseason,NFC West Team,2,1,0,.667,70,84,-14,8,1-1,1-0,0-0,.000,0-1,.000,2-0,W2,2-1
Seattle Seahawks,National Football Conference - 2010 Preseason,NFC West Team,1,2,0,.333,57,69,-12,6,1-1,0-1,0-0,.000,0-2,.000,1-0,L2,1-2
Arizona Cardinals,National Football Conference - 2010 Preseason,NFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
