Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2010 Regular Season,AFC East Team,10,1,0,.909,365,212,153,47,8-0,2-1,4-1,.800,7-1,.875,3-0,W9,5-0
Miami Dolphins,American Football Conference - 2010 Regular Season,AFC East Team,4,2,0,.667,78,104,-26,7,0-0,4-2,2-1,.667,3-2,.600,1-0,L1,3-2
New York Jets,American Football Conference - 2010 Regular Season,AFC East Team,7,4,0,.636,230,186,44,23,5-3,2-1,3-2,.600,5-3,.625,2-1,W1,3-2
Buffalo Bills,American Football Conference - 2010 Regular Season,AFC East Team,3,10,0,.231,249,364,-115,30,2-6,1-4,0-5,.000,2-8,.200,1-2,L2,1-4
Pittsburgh Steelers,American Football Conference - 2010 Regular Season,AFC North Team,3,1,0,.750,69,67,2,6,0-0,3-1,2-0,1.000,3-0,1.000,0-1,W3,3-1
Baltimore Ravens,American Football Conference - 2010 Regular Season,AFC North Team,8,4,0,.667,249,205,44,27,7-1,1-3,2-2,.500,6-3,.667,2-1,W2,3-2
Cleveland Browns,American Football Conference - 2010 Regular Season,AFC North Team,1,3,0,.250,70,73,-3,7,0-0,1-3,0-2,.000,0-3,.000,1-0,L2,1-3
Cincinnati Bengals,American Football Conference - 2010 Regular Season,AFC North Team,3,10,0,.231,275,342,-67,31,3-5,0-5,2-2,.500,3-7,.300,0-3,L1,2-3
Tennessee Titans,American Football Conference - 2010 Regular Season,AFC South Team,2,1,0,.667,83,60,23,9,0-0,2-1,0-1,.000,0-1,.000,2-0,L1,2-1
Indianapolis Colts,American Football Conference - 2010 Regular Season,AFC South Team,6,3,0,.667,244,206,38,28,6-2,0-1,3-0,1.000,5-2,.714,1-1,W2,2-3
Jacksonville Jaguars,American Football Conference - 2010 Regular Season,AFC South Team,2,2,0,.500,115,101,14,13,0-0,2-2,0-1,.000,1-1,.500,1-1,L2,2-2
Houston Texans,American Football Conference - 2010 Regular Season,AFC South Team,0,2,0,.000,44,60,-16,5,0-0,0-2,0-1,.000,0-2,.000,0-0,L2,0-2
Kansas City Chiefs,American Football Conference - 2010 Regular Season,AFC West Team,2,1,0,.667,78,56,22,9,0-0,2-1,0-0,.000,0-1,.000,2-0,W2,2-1
San Diego Chargers,American Football Conference - 2010 Regular Season,AFC West Team,1,3,0,.250,93,95,-2,9,0-0,1-3,0-0,.000,1-1,.500,0-2,L1,1-3
Denver Broncos,American Football Conference - 2010 Regular Season,AFC West Team,0,1,0,.000,17,31,-14,2,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
Oakland Raiders,American Football Conference - 2010 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Philadelphia Eagles,National Football Conference - 2010 Regular Season,NFC East Team,3,0,0,1.000,103,90,13,13,0-0,3-0,2-0,1.000,3-0,1.000,0-0,W3,3-0
New York Giants,National Football Conference - 2010 Regular Season,NFC East Team,8,4,0,.667,309,251,58,38,5-3,3-1,2-2,.500,7-2,.778,1-2,L1,3-2
Dallas Cowboys,National Football Conference - 2010 Regular Season,NFC East Team,4,7,0,.364,313,325,-12,36,2-6,2-1,2-2,.500,3-5,.375,1-2,W1,3-2
Washington Redskins,National Football Conference - 2010 Regular Season,NFC East Team,0,4,0,.000,78,131,-53,9,0-0,0-4,0-2,.000,0-4,.000,0-0,L4,0-4
Chicago Bears,National Football Conference - 2010 Regular Season,NFC North Team,4,1,0,.800,116,90,26,13,0-0,4-1,2-0,1.000,3-1,.750,1-0,W3,4-1
Green Bay Packers,National Football Conference - 2010 Regular Season,NFC North Team,2,3,0,.400,87,61,26,9,0-0,2-3,1-1,.500,1-2,.333,1-1,L3,2-3
Minnesota Vikings,National Football Conference - 2010 Regular Season,NFC North Team,4,8,0,.333,203,266,-63,24,4-4,0-4,1-3,.250,3-5,.375,1-3,L3,1-4
Detroit Lions,National Football Conference - 2010 Regular Season,NFC North Team,4,8,0,.333,265,275,-10,31,4-4,0-4,2-2,.500,4-5,.444,0-3,W2,2-3
Atlanta Falcons,National Football Conference - 2010 Regular Season,NFC South Team,10,1,0,.909,309,198,111,35,7-1,3-0,3-1,.750,8-1,.889,2-0,W1,4-1
New Orleans Saints,National Football Conference - 2010 Regular Season,NFC South Team,8,4,0,.667,274,246,28,32,5-3,3-1,2-2,.500,6-2,.750,2-2,L1,3-2
Tampa Bay Buccaneers,National Football Conference - 2010 Regular Season,NFC South Team,2,2,0,.500,78,78,0,9,0-0,2-2,1-1,.500,1-1,.500,1-1,W1,2-2
Carolina Panthers,National Football Conference - 2010 Regular Season,NFC South Team,0,5,0,.000,66,129,-63,7,0-0,0-5,0-2,.000,0-5,.000,0-0,L5,0-5
Seattle Seahawks,National Football Conference - 2010 Regular Season,NFC West Team,5,5,0,.500,198,227,-29,20,5-3,0-2,3-1,.750,4-4,.500,1-1,W1,2-3
St. Louis Rams,National Football Conference - 2010 Regular Season,NFC West Team,5,6,0,.455,183,232,-49,16,5-3,0-3,2-2,.500,4-5,.444,1-1,L1,1-4
Arizona Cardinals,National Football Conference - 2010 Regular Season,NFC West Team,1,3,0,.250,58,103,-45,7,0-0,1-3,1-1,.500,1-3,.250,0-0,L3,1-3
San Francisco 49ers,National Football Conference - 2010 Regular Season,NFC West Team,0,3,0,.000,37,72,-35,4,0-0,0-3,0-2,.000,0-3,.000,0-0,L3,0-3
