Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2011 Preseason,AFC East Team,1,0,0,1.000,31,14,17,4,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Miami Dolphins,American Football Conference - 2011 Preseason,AFC East Team,2,1,0,.667,50,30,20,5,2-0,0-1,0-0,.000,0-0,.000,2-1,W1,2-1
New York Jets,American Football Conference - 2011 Preseason,AFC East Team,0,1,0,.000,16,20,-4,1,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
Buffalo Bills,American Football Conference - 2011 Preseason,AFC East Team,0,2,0,.000,13,34,-21,1,0-0,0-2,0-0,.000,0-1,.000,0-1,L2,0-2
Pittsburgh Steelers,American Football Conference - 2011 Preseason,AFC North Team,3,1,0,.750,98,63,35,11,2-0,1-1,0-0,.000,0-0,.000,3-1,W3,3-1
Cleveland Browns,American Football Conference - 2011 Preseason,AFC North Team,1,3,0,.250,83,95,-12,11,1-1,0-2,0-0,.000,0-0,.000,1-3,L3,1-3
Cincinnati Bengals,American Football Conference - 2011 Preseason,AFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Baltimore Ravens,American Football Conference - 2011 Preseason,AFC North Team,0,1,0,.000,6,13,-7,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Tennessee Titans,American Football Conference - 2011 Preseason,AFC South Team,2,0,0,1.000,28,16,12,4,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
Houston Texans,American Football Conference - 2011 Preseason,AFC South Team,3,0,0,1.000,77,37,40,8,2-0,1-0,0-0,.000,1-0,1.000,2-0,W3,3-0
Jacksonville Jaguars,American Football Conference - 2011 Preseason,AFC South Team,1,1,0,.500,32,37,-5,3,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Indianapolis Colts,American Football Conference - 2011 Preseason,AFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Denver Broncos,American Football Conference - 2011 Preseason,AFC West Team,2,1,0,.667,54,56,-2,6,2-0,0-1,0-0,.000,1-0,1.000,1-1,L1,2-1
San Diego Chargers,American Football Conference - 2011 Preseason,AFC West Team,1,2,0,.333,68,75,-7,8,0-2,1-0,0-0,.000,0-0,.000,1-2,L1,1-2
Oakland Raiders,American Football Conference - 2011 Preseason,AFC West Team,0,3,0,.000,41,81,-40,3,0-2,0-1,0-0,.000,0-0,.000,0-3,L3,0-3
Kansas City Chiefs,American Football Conference - 2011 Preseason,AFC West Team,0,3,0,.000,29,59,-30,3,0-2,0-1,0-0,.000,0-0,.000,0-3,L3,0-3
Washington Redskins,National Football Conference - 2011 Preseason,NFC East Team,2,0,0,1.000,45,31,14,4,2-0,0-0,0-0,.000,1-0,1.000,1-0,W2,2-0
Philadelphia Eagles,National Football Conference - 2011 Preseason,NFC East Team,2,1,0,.667,51,44,7,6,2-0,0-1,0-0,.000,0-0,.000,2-1,W1,2-1
Dallas Cowboys,National Football Conference - 2011 Preseason,NFC East Team,0,1,0,.000,3,17,-14,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
New York Giants,National Football Conference - 2011 Preseason,NFC East Team,0,1,0,.000,10,20,-10,1,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
Detroit Lions,National Football Conference - 2011 Preseason,NFC North Team,1,0,0,1.000,30,28,2,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Chicago Bears,National Football Conference - 2011 Preseason,NFC North Team,2,1,0,.667,47,31,16,5,2-0,0-1,0-0,.000,0-0,.000,2-1,W1,2-1
Green Bay Packers,National Football Conference - 2011 Preseason,NFC North Team,2,1,0,.667,65,66,-1,8,2-0,0-1,0-0,.000,1-0,1.000,1-1,W2,2-1
Minnesota Vikings,National Football Conference - 2011 Preseason,NFC North Team,0,1,0,.000,3,14,-11,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
New Orleans Saints,National Football Conference - 2011 Preseason,NFC South Team,1,1,0,.500,54,47,7,7,0-0,1-1,0-0,.000,0-0,.000,1-1,W1,1-1
Tampa Bay Buccaneers,National Football Conference - 2011 Preseason,NFC South Team,2,2,0,.500,80,73,7,8,1-1,1-1,0-0,.000,0-1,.000,2-1,L1,2-2
Carolina Panthers,National Football Conference - 2011 Preseason,NFC South Team,1,2,0,.333,47,63,-16,5,1-1,0-1,0-0,.000,1-0,1.000,0-2,L2,1-2
Atlanta Falcons,National Football Conference - 2011 Preseason,NFC South Team,0,2,0,.000,29,49,-20,2,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
St. Louis Rams,National Football Conference - 2011 Preseason,NFC West Team,2,0,0,1.000,38,27,11,5,0-0,2-0,0-0,.000,0-0,.000,2-0,W2,2-0
San Francisco 49ers,National Football Conference - 2011 Preseason,NFC West Team,2,1,0,.667,44,50,-6,5,1-1,1-0,0-0,.000,0-0,.000,2-1,W1,2-1
Seattle Seahawks,National Football Conference - 2011 Preseason,NFC West Team,1,1,0,.500,44,40,4,5,0-0,1-1,0-0,.000,0-0,.000,1-1,L1,1-1
Arizona Cardinals,National Football Conference - 2011 Preseason,NFC West Team,2,2,0,.500,101,87,14,11,1-1,1-1,0-0,.000,0-1,.000,2-1,W1,2-2
