Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2012 Preseason,AFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
New York Jets,American Football Conference - 2012 Preseason,AFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Miami Dolphins,American Football Conference - 2012 Preseason,AFC East Team,0,1,0,.000,13,30,-17,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Buffalo Bills,American Football Conference - 2012 Preseason,AFC East Team,0,2,0,.000,46,74,-28,6,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
Cleveland Browns,American Football Conference - 2012 Preseason,AFC North Team,1,0,0,1.000,19,17,2,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Cincinnati Bengals,American Football Conference - 2012 Preseason,AFC North Team,1,0,0,1.000,24,19,5,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Baltimore Ravens,American Football Conference - 2012 Preseason,AFC North Team,1,1,0,.500,48,48,0,6,0-0,1-1,0-0,.000,0-0,.000,1-1,L1,1-1
Pittsburgh Steelers,American Football Conference - 2012 Preseason,AFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Jacksonville Jaguars,American Football Conference - 2012 Preseason,AFC South Team,1,0,0,1.000,27,24,3,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Indianapolis Colts,American Football Conference - 2012 Preseason,AFC South Team,1,0,0,1.000,38,3,35,5,1-0,0-0,0-0,.000,0-0,.000,1-0,W1,1-0
Houston Texans,American Football Conference - 2012 Preseason,AFC South Team,1,1,0,.500,47,43,4,5,1-0,0-1,0-0,.000,0-0,.000,1-1,L1,1-1
Tennessee Titans,American Football Conference - 2012 Preseason,AFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
San Diego Chargers,American Football Conference - 2012 Preseason,AFC West Team,1,0,0,1.000,12,10,2,0,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Denver Broncos,American Football Conference - 2012 Preseason,AFC West Team,1,0,0,1.000,16,13,3,1,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Oakland Raiders,American Football Conference - 2012 Preseason,AFC West Team,0,1,0,.000,27,31,-4,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Kansas City Chiefs,American Football Conference - 2012 Preseason,AFC West Team,0,1,0,.000,17,31,-14,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Dallas Cowboys,National Football Conference - 2012 Preseason,NFC East Team,2,0,0,1.000,50,32,18,5,2-0,0-0,0-0,.000,1-0,1.000,1-0,W2,2-0
New York Giants,National Football Conference - 2012 Preseason,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Washington Redskins,National Football Conference - 2012 Preseason,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Philadelphia Eagles,National Football Conference - 2012 Preseason,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Minnesota Vikings,National Football Conference - 2012 Preseason,NFC North Team,1,1,0,.500,46,26,20,4,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Detroit Lions,National Football Conference - 2012 Preseason,NFC North Team,1,1,0,.500,55,51,4,7,1-1,0-0,0-0,.000,0-0,.000,1-1,W1,1-1
Green Bay Packers,National Football Conference - 2012 Preseason,NFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Chicago Bears,National Football Conference - 2012 Preseason,NFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
New Orleans Saints,National Football Conference - 2012 Preseason,NFC South Team,1,1,0,.500,58,54,4,7,1-1,0-0,0-0,.000,0-0,.000,1-1,W1,1-1
Tampa Bay Buccaneers,National Football Conference - 2012 Preseason,NFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Atlanta Falcons,National Football Conference - 2012 Preseason,NFC South Team,0,2,0,.000,36,55,-19,4,0-2,0-0,0-0,.000,0-0,.000,0-2,L2,0-2
Carolina Panthers,National Football Conference - 2012 Preseason,NFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
St. Louis Rams,National Football Conference - 2012 Preseason,NFC West Team,2,2,0,.500,84,92,-8,10,2-0,0-2,0-0,.000,0-1,.000,2-1,W1,2-2
Arizona Cardinals,National Football Conference - 2012 Preseason,NFC West Team,1,1,0,.500,44,43,1,5,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Seattle Seahawks,National Football Conference - 2012 Preseason,NFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
San Francisco 49ers,National Football Conference - 2012 Preseason,NFC West Team,0,1,0,.000,9,20,-11,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
