Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2012 Regular Season,AFC East Team,1,0,0,1.000,29,26,3,3,1-0,0-0,1-0,1.000,1-0,1.000,0-0,W1,1-0
Buffalo Bills,American Football Conference - 2012 Regular Season,AFC East Team,1,0,0,1.000,19,16,3,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
New York Jets,American Football Conference - 2012 Regular Season,AFC East Team,1,1,0,.500,49,49,0,4,0-0,1-1,1-1,.500,1-1,.500,0-0,L1,1-1
Miami Dolphins,American Football Conference - 2012 Regular Season,AFC East Team,0,2,0,.000,41,47,-6,4,0-1,0-1,0-1,.000,0-1,.000,0-1,L2,0-2
Pittsburgh Steelers,American Football Conference - 2012 Regular Season,AFC North Team,1,1,0,.500,40,40,0,4,1-0,0-1,0-0,.000,1-0,1.000,0-1,L1,1-1
Baltimore Ravens,American Football Conference - 2012 Regular Season,AFC North Team,1,1,0,.500,44,44,0,5,0-0,1-1,0-0,.000,1-0,1.000,0-1,L1,1-1
Cleveland Browns,American Football Conference - 2012 Regular Season,AFC North Team,0,1,0,.000,20,23,-3,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Cincinnati Bengals,American Football Conference - 2012 Regular Season,AFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Houston Texans,American Football Conference - 2012 Regular Season,AFC South Team,2,0,0,1.000,77,68,9,9,1-0,1-0,1-0,1.000,1-0,1.000,1-0,W2,2-0
Indianapolis Colts,American Football Conference - 2012 Regular Season,AFC South Team,1,0,0,1.000,19,13,6,2,0-0,1-0,1-0,1.000,1-0,1.000,0-0,W1,1-0
Tennessee Titans,American Football Conference - 2012 Regular Season,AFC South Team,1,1,0,.500,57,60,-3,6,1-1,0-0,0-1,.000,0-1,.000,1-0,L1,1-1
Jacksonville Jaguars,American Football Conference - 2012 Regular Season,AFC South Team,0,3,0,.000,83,95,-12,8,0-0,0-3,0-1,.000,0-2,.000,0-1,L3,0-3
Oakland Raiders,American Football Conference - 2012 Regular Season,AFC West Team,1,0,0,1.000,26,23,3,2,1-0,0-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Kansas City Chiefs,American Football Conference - 2012 Regular Season,AFC West Team,1,1,0,.500,40,40,0,2,0-0,1-1,0-0,.000,0-1,.000,1-0,L1,1-1
San Diego Chargers,American Football Conference - 2012 Regular Season,AFC West Team,0,1,0,.000,13,16,-3,1,0-1,0-0,0-0,.000,0-1,.000,0-0,L1,0-1
Denver Broncos,American Football Conference - 2012 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Washington Redskins,National Football Conference - 2012 Regular Season,NFC East Team,1,0,0,1.000,31,28,3,3,1-0,0-0,0-0,.000,0-0,.000,1-0,W1,1-0
Dallas Cowboys,National Football Conference - 2012 Regular Season,NFC East Team,2,1,0,.667,81,78,3,9,2-1,0-0,0-0,.000,0-1,.000,2-0,L1,2-1
New York Giants,National Football Conference - 2012 Regular Season,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Philadelphia Eagles,National Football Conference - 2012 Regular Season,NFC East Team,0,1,0,.000,23,26,-3,2,0-1,0-0,0-0,.000,0-1,.000,0-0,L1,0-1
Minnesota Vikings,National Football Conference - 2012 Regular Season,NFC North Team,1,0,0,1.000,26,23,3,2,1-0,0-0,0-0,.000,0-0,.000,1-0,W1,1-0
Detroit Lions,National Football Conference - 2012 Regular Season,NFC North Team,1,2,0,.333,98,101,-3,10,0-1,1-1,0-0,.000,1-0,1.000,0-2,L1,1-2
Green Bay Packers,National Football Conference - 2012 Regular Season,NFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Chicago Bears,National Football Conference - 2012 Regular Season,NFC North Team,0,1,0,.000,17,23,-6,2,0-1,0-0,0-0,.000,0-1,.000,0-0,L1,0-1
Tampa Bay Buccaneers,National Football Conference - 2012 Regular Season,NFC South Team,1,0,0,1.000,27,21,6,3,0-0,1-0,1-0,1.000,1-0,1.000,0-0,W1,1-0
New Orleans Saints,National Football Conference - 2012 Regular Season,NFC South Team,1,1,0,.500,58,58,0,7,0-1,1-0,0-0,.000,1-0,1.000,0-1,W1,1-1
Atlanta Falcons,National Football Conference - 2012 Regular Season,NFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Carolina Panthers,National Football Conference - 2012 Regular Season,NFC South Team,0,1,0,.000,21,27,-6,3,0-1,0-0,0-1,.000,0-1,.000,0-0,L1,0-1
Seattle Seahawks,National Football Conference - 2012 Regular Season,NFC West Team,1,0,0,1.000,23,17,6,3,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
St. Louis Rams,National Football Conference - 2012 Regular Season,NFC West Team,1,0,1,.750,40,37,3,4,1-0,0-0-1,1-0-1,.750,1-0-1,.750,0-0,W1,1-0-1
Arizona Cardinals,National Football Conference - 2012 Regular Season,NFC West Team,1,1,0,.500,40,40,0,4,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
San Francisco 49ers,National Football Conference - 2012 Regular Season,NFC West Team,0,1,1,.250,37,40,-3,4,0-0-1,0-1,0-1-1,.250,0-1-1,.250,0-0,L1,0-1-1
