Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5,W,L
New England Patriots,American Football Conference - 2013 Preseason,AFC East Team,2,0,0,1.000,53,41,12,7,0-0,.000,0-0,.000,2-0,W2,2-0,New York Jets,2
0,American Football Conference - 2013 Preseason,AFC East Team,0,1.000,64,33,31,7,0-0,.000,1-0,1.000,1-0,W2,2-0,Miami Dolphins,1,1,0
.500,American Football Conference - 2013 Preseason,AFC East Team,40,38,2,3,0-0,.000,0-0,.000,1-1,W1,1-1,Buffalo Bills,1,1,0,.500,33
51,American Football Conference - 2013 Preseason,AFC East Team,-18,3,0-0,.000,0-0,.000,1-1,L1,1-1,Cincinnati Bengals,2,0,0,1.000,54,29,25
6,American Football Conference - 2013 Preseason,AFC North Team,0-0,.000,2-0,1.000,0-0,W2,2-0,Cleveland Browns,2,0,0,1.000,51,25,26,6,0-0
.000,American Football Conference - 2013 Preseason,AFC North Team,0-0,.000,2-0,W2,2-0,Baltimore Ravens,1,1,0,.500,54,57,-3,7,0-0,.000,0-0
.000,American Football Conference - 2013 Preseason,AFC North Team,1-1,L1,1-1,Pittsburgh Steelers,0,2,0,.000,33,44,-11,3,0-0,.000,0-1,.000,0-1
L2,American Football Conference - 2013 Preseason,AFC North Team,0-2,Tennessee Titans,1,1,0,.500,48,38,10,6,0-0,.000,0-0,.000,1-1,W1,1-1
Houston Texans,American Football Conference - 2013 Preseason,AFC South Team,1,1,0,.500,47,48,-1,5,0-0,.000,1-0,1.000,0-1,L1,1-1,Indianapolis Colts,1
1,American Football Conference - 2013 Preseason,AFC South Team,0,.500,47,50,-3,5,0-0,.000,1-1,.500,0-0,W1,1-1,Jacksonville Jaguars,0,2,0
.000,American Football Conference - 2013 Preseason,AFC South Team,27,58,-31,3,0-0,.000,0-1,.000,0-1,L2,0-2,Oakland Raiders,1,1,0,.500,45
51,American Football Conference - 2013 Preseason,AFC South Team,-6,4,0-0,.000,0-0,.000,1-1,L1,1-1,Kansas City Chiefs,1,1,0,.500,43,23,20
4,American Football Conference - 2013 Preseason,AFC West Team,0-0,.000,0-0,.000,1-1,W1,1-1,Denver Broncos,1,1,0,.500,51,58,-7,6,0-0
.000,American Football Conference - 2013 Preseason,AFC West Team,0-0,.000,1-1,L1,1-1,San Diego Chargers,0,2,0,.000,16,72,-56,1,0-0,.000,0-0
.000,American Football Conference - 2013 Preseason,AFC West Team,0-2,L2,0-2,Washington Redskins,2,0,0,1.000,54,20,34,6,0-0,.000,0-0,.000,2-0
W2,American Football Conference - 2013 Preseason,AFC West Team,2-0,Dallas Cowboys,2,1,0,.667,54,62,-8,6,0-0,.000,0-0,.000,2-1,L1,2-1
Philadelphia Eagles,National Football Conference - 2013 Preseason,NFC East Team,1,1,0,.500,36,40,-4,5,0-0,.000,1-0,1.000,0-1,W1,1-1,New York Giants,0
2,National Football Conference - 2013 Preseason,NFC East Team,0,.000,33,44,-11,1,0-0,.000,0-0,.000,0-2,L2,0-2,Detroit Lions,2,0,0
1.000,National Football Conference - 2013 Preseason,NFC East Team,66,26,40,6,0-0,.000,0-0,.000,2-0,W2,2-0,Minnesota Vikings,1,1,0,.500,37
50,National Football Conference - 2013 Preseason,NFC East Team,-13,4,0-0,.000,0-0,.000,1-1,W1,1-1,Chicago Bears,1,1,0,.500,49,46,3
4,National Football Conference - 2013 Preseason,NFC North Team,0-0,.000,0-0,.000,1-1,L1,1-1,Green Bay Packers,0,2,0,.000,10,34,-24,1,0-0
.000,National Football Conference - 2013 Preseason,NFC North Team,0-2,.000,0-0,L2,0-2,New Orleans Saints,2,0,0,1.000,45,33,12,4,0-0,.000,0-0
.000,National Football Conference - 2013 Preseason,NFC North Team,2-0,W2,2-0,Carolina Panthers,2,0,0,1.000,49,27,22,5,0-0,.000,1-0,1.000,1-0
W2,National Football Conference - 2013 Preseason,NFC North Team,2-0,Tampa Bay Buccaneers,0,2,0,.000,28,74,-46,2,0-0,.000,0-1,.000,0-1,L2,0-2
Atlanta Falcons,National Football Conference - 2013 Preseason,NFC South Team,0,2,0,.000,26,54,-28,3,0-0,.000,0-0,.000,0-2,L2,0-2,Seattle Seahawks,2
0,National Football Conference - 2013 Preseason,NFC South Team,0,1.000,62,16,46,6,0-0,.000,0-0,.000,2-0,W2,2-0,St. Louis Rams,1,1,0
.500,National Football Conference - 2013 Preseason,NFC South Team,31,40,-9,4,0-0,.000,0-1,.000,1-0,W1,1-1,San Francisco 49ers,1,1,0,.500,40
24,National Football Conference - 2013 Preseason,NFC South Team,16,4,0-0,.000,1-0,1.000,0-1,W1,1-1,Arizona Cardinals,1,1,0,.500,19,31,-12
1,National Football Conference - 2013 Preseason,NFC West Team,0-0,.000,1-0,1.000,0-1,L1,1-1
