Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5,W,L
New England Patriots,American Football Conference - 2013 Preseason,AFC East Team,1,1,0,.500,40,62,-22,5,0-0,.000,0-0,.000,1-1,L1,1-1,New York Jets,1
1,American Football Conference - 2013 Preseason,AFC East Team,0,.500,41,47,-6,5,0-0,.000,0-0,.000,1-1,W1,1-1,Buffalo Bills,1,1,0
.500,American Football Conference - 2013 Preseason,AFC East Team,51,50,1,6,0-0,.000,1-0,1.000,0-1,L1,1-1,Miami Dolphins,1,2,0,.333,64
51,American Football Conference - 2013 Preseason,AFC East Team,13,7,0-0,.000,1-1,.500,0-1,L1,1-2,Cincinnati Bengals,1,1,0,.500,52,34,18
6,American Football Conference - 2013 Preseason,AFC North Team,0-0,.000,0-0,.000,1-1,L1,1-1,Baltimore Ravens,1,1,0,.500,65,40,25,8,0-0
.000,American Football Conference - 2013 Preseason,AFC North Team,0-0,.000,1-1,L1,1-1,Cleveland Browns,1,1,0,.500,24,43,-19,2,0-0,.000,0-1
.000,American Football Conference - 2013 Preseason,AFC North Team,1-0,W1,1-1,Pittsburgh Steelers,0,2,0,.000,23,49,-26,2,0-0,.000,0-0,.000,0-2
L2,American Football Conference - 2013 Preseason,AFC North Team,0-2,Houston Texans,2,0,0,1.000,51,19,32,6,0-0,.000,0-0,.000,2-0,W2,2-0
Jacksonville Jaguars,American Football Conference - 2013 Preseason,AFC South Team,1,1,0,.500,33,53,-20,3,0-0,.000,0-1,.000,1-0,W1,1-1,Indianapolis Colts,1
1,American Football Conference - 2013 Preseason,AFC South Team,0,.500,30,39,-9,3,0-0,.000,0-1,.000,1-0,L1,1-1,Tennessee Titans,0,2,0
.000,American Football Conference - 2013 Preseason,AFC South Team,42,51,-9,4,0-0,.000,0-1,.000,0-1,L2,0-2,San Diego Chargers,1,1,0,.500,52
40,American Football Conference - 2013 Preseason,AFC South Team,12,7,0-0,.000,0-0,.000,1-1,W1,1-1,Kansas City Chiefs,1,1,0,.500,39,37,2
4,American Football Conference - 2013 Preseason,AFC West Team,0-0,.000,1-0,1.000,0-1,W1,1-1,Denver Broncos,1,1,0,.500,20,46,-26,2,0-0
.000,American Football Conference - 2013 Preseason,AFC West Team,0-0,.000,1-1,L1,1-1,Oakland Raiders,0,2,0,.000,26,50,-24,2,0-0,.000,0-0
.000,American Football Conference - 2013 Preseason,AFC West Team,0-2,L2,0-2,Washington Redskins,2,0,0,1.000,52,33,19,6,0-0,.000,1-0,1.000,1-0
W2,American Football Conference - 2013 Preseason,AFC West Team,2-0,Philadelphia Eagles,1,1,0,.500,51,51,0,5,0-0,.000,0-0,.000,1-1,L1,1-1
New York Giants,National Football Conference - 2013 Preseason,NFC East Team,1,1,0,.500,38,41,-3,3,0-0,.000,0-0,.000,1-1,L1,1-1,Dallas Cowboys,0
2,National Football Conference - 2013 Preseason,NFC East Team,0,.000,24,31,-7,3,0-0,.000,0-1,.000,0-1,L2,0-2,Detroit Lions,1,1,0
.500,National Football Conference - 2013 Preseason,NFC East Team,41,37,4,5,0-0,.000,0-0,.000,1-1,W1,1-1,Green Bay Packers,1,1,0,.500,27
37,National Football Conference - 2013 Preseason,NFC East Team,-10,1,0-0,.000,1-0,1.000,0-1,L1,1-1,Chicago Bears,1,1,0,.500,51,50,1
6,National Football Conference - 2013 Preseason,NFC North Team,0-0,.000,0-1,.000,1-0,W1,1-1,Minnesota Vikings,0,2,0,.000,30,54,-24,4,0-0
.000,National Football Conference - 2013 Preseason,NFC North Team,0-1,.000,0-1,L2,0-2,New Orleans Saints,1,1,0,.500,52,47,5,7,0-0,.000,0-0
.000,National Football Conference - 2013 Preseason,NFC North Team,1-1,L1,1-1,Carolina Panthers,1,1,0,.500,43,41,2,4,0-0,.000,0-1,.000,1-0
W1,National Football Conference - 2013 Preseason,NFC North Team,1-1,Tampa Bay Buccaneers,1,1,0,.500,38,41,-3,4,0-0,.000,0-0,.000,1-1,W1,1-1
Atlanta Falcons,National Football Conference - 2013 Preseason,NFC South Team,0,2,0,.000,39,54,-15,3,0-0,.000,0-0,.000,0-2,L2,0-2,San Francisco 49ers,2
0,National Football Conference - 2013 Preseason,NFC South Team,0,1.000,56,19,37,6,0-0,.000,0-0,.000,2-0,W2,2-0,Arizona Cardinals,2,0,0
1.000,National Football Conference - 2013 Preseason,NFC South Team,49,24,25,6,0-0,.000,1-0,1.000,1-0,W2,2-0,Seattle Seahawks,2,0,0,1.000,48
20,National Football Conference - 2013 Preseason,NFC South Team,28,6,0-0,.000,1-0,1.000,1-0,W2,2-0,St. Louis Rams,0,2,0,.000,45,54,-9
5,National Football Conference - 2013 Preseason,NFC West Team,0-0,.000,0-0,.000,0-2,L2,0-2
