Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
Miami Dolphins,American Football Conference - 2013 Regular Season,AFC East Team,6,5,0,.545,236,228,8,25,4-4,2-1,1-2,.333,5-3,.625,1-2,L1,3-2
Buffalo Bills,American Football Conference - 2013 Regular Season,AFC East Team,2,3,0,.400,90,128,-38,9,0-0,2-3,1-0,1.000,2-2,.500,0-1,W1,2-3
New England Patriots,American Football Conference - 2013 Regular Season,AFC East Team,1,2,0,.333,74,79,-5,8,0-0,1-2,0-1,.000,1-1,.500,0-1,L1,1-2
New York Jets,American Football Conference - 2013 Regular Season,AFC East Team,1,2,0,.333,53,75,-22,5,0-0,1-2,1-0,1.000,1-1,.500,0-1,W1,1-2
Pittsburgh Steelers,American Football Conference - 2013 Regular Season,AFC North Team,7,4,0,.636,272,233,39,29,5-3,2-1,4-0,1.000,5-3,.625,2-1,W3,4-1
Cleveland Browns,American Football Conference - 2013 Regular Season,AFC North Team,3,8,0,.273,212,273,-61,25,3-5,0-3,2-2,.500,3-5,.375,0-3,L4,1-4
Cincinnati Bengals,American Football Conference - 2013 Regular Season,AFC North Team,1,4,0,.200,84,103,-19,10,0-0,1-4,0-2,.000,1-3,.250,0-1,L1,1-4
Baltimore Ravens,American Football Conference - 2013 Regular Season,AFC North Team,1,4,0,.200,107,138,-31,10,0-0,1-4,0-2,.000,1-3,.250,0-1,L3,1-4
Indianapolis Colts,American Football Conference - 2013 Regular Season,AFC South Team,5,2,0,.714,164,127,37,16,0-0,5-2,3-0,1.000,4-1,.800,1-1,W1,3-2
Tennessee Titans,American Football Conference - 2013 Regular Season,AFC South Team,6,7,0,.462,307,318,-11,34,3-5,3-2,2-3,.400,6-5,.545,0-2,W2,3-2
Jacksonville Jaguars,American Football Conference - 2013 Regular Season,AFC South Team,4,9,0,.308,200,340,-140,20,1-7,3-2,3-2,.600,4-7,.364,0-2,L2,3-2
Houston Texans,American Football Conference - 2013 Regular Season,AFC South Team,2,12,0,.143,264,373,-109,28,1-7,1-5,1-4,.200,2-8,.200,0-4,L12,0-5
Denver Broncos,American Football Conference - 2013 Regular Season,AFC West Team,11,1,0,.917,450,255,195,57,7-1,4-0,5-1,.833,9-1,.900,2-0,W2,4-1
Kansas City Chiefs,American Football Conference - 2013 Regular Season,AFC West Team,10,5,0,.667,407,292,115,50,5-3,5-2,2-4,.333,6-5,.545,4-0,L2,2-3
San Diego Chargers,American Football Conference - 2013 Regular Season,AFC West Team,9,7,0,.562,396,348,48,42,5-3,4-4,4-2,.667,6-6,.500,3-1,W4,4-1
Oakland Raiders,American Football Conference - 2013 Regular Season,AFC West Team,4,8,0,.333,234,340,-106,27,3-5,1-3,1-5,.167,4-6,.400,0-2,L4,1-4
Philadelphia Eagles,National Football Conference - 2013 Regular Season,NFC East Team,8,5,0,.615,352,291,61,44,4-4,4-1,2-2,.500,7-2,.778,1-3,W6,5-0
Dallas Cowboys,National Football Conference - 2013 Regular Season,NFC East Team,2,3,0,.400,106,118,-12,13,0-0,2-3,2-0,1.000,2-1,.667,0-2,W1,2-3
New York Giants,National Football Conference - 2013 Regular Season,NFC East Team,2,4,0,.333,81,157,-76,9,0-0,2-4,2-0,1.000,2-2,.500,0-2,L1,2-3
Washington Redskins,National Football Conference - 2013 Regular Season,NFC East Team,3,9,0,.250,259,366,-107,32,2-6,1-3,0-4,.000,1-7,.125,2-2,L5,0-5
Chicago Bears,National Football Conference - 2013 Regular Season,NFC North Team,8,5,0,.615,372,373,-1,44,5-3,3-2,2-2,.500,4-5,.444,4-0,L2,3-2
Green Bay Packers,National Football Conference - 2013 Regular Season,NFC North Team,5,4,1,.550,264,243,21,30,4-3-1,1-1,2-1-1,.625,4-3-1,.562,1-1,W1,2-2-1
Detroit Lions,National Football Conference - 2013 Regular Season,NFC North Team,3,4,0,.429,156,174,-18,20,0-0,3-4,1-1,.500,2-3,.400,1-1,L2,2-3
Minnesota Vikings,National Football Conference - 2013 Regular Season,NFC North Team,0,1,1,.250,56,57,-1,5,0-0,0-1-1,0-1-1,.250,0-1-1,.250,0-0,T1,0-1-1
Carolina Panthers,National Football Conference - 2013 Regular Season,NFC South Team,10,2,0,.833,274,156,118,31,7-1,3-1,4-0,1.000,7-2,.778,3-0,W9,5-0
New Orleans Saints,National Football Conference - 2013 Regular Season,NFC South Team,2,1,0,.667,55,49,6,4,0-0,2-1,1-1,.500,2-1,.667,0-0,L1,2-1
Tampa Bay Buccaneers,National Football Conference - 2013 Regular Season,NFC South Team,3,6,0,.333,167,204,-37,18,3-5,0-1,1-3,.250,1-6,.143,2-0,L1,3-2
Atlanta Falcons,National Football Conference - 2013 Regular Season,NFC South Team,0,6,0,.000,119,185,-66,13,0-0,0-6,0-2,.000,0-5,.000,0-1,L6,0-5
San Francisco 49ers,National Football Conference - 2013 Regular Season,NFC West Team,11,2,0,.846,348,209,139,37,6-2,5-0,4-0,1.000,8-1,.889,3-1,W6,5-0
Seattle Seahawks,National Football Conference - 2013 Regular Season,NFC West Team,3,1,0,.750,86,68,18,9,0-0,3-1,1-1,.500,2-1,.667,1-0,L1,3-1
Arizona Cardinals,National Football Conference - 2013 Regular Season,NFC West Team,9,4,0,.692,331,256,75,36,6-2,3-2,1-3,.250,5-4,.556,4-0,L1,3-2
St. Louis Rams,National Football Conference - 2013 Regular Season,NFC West Team,1,3,0,.250,76,96,-20,8,0-0,1-3,0-2,.000,0-3,.000,1-0,L3,1-3
