Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5,W,L
New England Patriots,American Football Conference - 2013 Regular Season,AFC East Team,4,4,0,.500,201,173,28,21,1-2,.333,3-3,.500,1-1,W1,2-3,Miami Dolphins,4
4,American Football Conference - 2013 Regular Season,AFC East Team,0,.500,157,167,-10,17,1-2,.333,4-2,.667,0-2,L1,2-3,New York Jets,2,6,0
.250,American Football Conference - 2013 Regular Season,AFC East Team,119,221,-102,11,1-2,.333,1-5,.167,1-1,W1,1-4,Buffalo Bills,2,6,0,.250,147
224,American Football Conference - 2013 Regular Season,AFC East Team,-77,14,1-2,.333,2-4,.333,0-2,L1,1-4,Pittsburgh Steelers,3,5,0,.375,190,200,-10
22,American Football Conference - 2013 Regular Season,AFC North Team,1-2,.333,2-4,.333,1-1,W1,2-3,Cincinnati Bengals,3,5,0,.375,155,171,-16,18,0-3
.000,American Football Conference - 2013 Regular Season,AFC North Team,2-4,.333,1-1,L1,2-3,Baltimore Ravens,2,6,0,.250,162,211,-49,13,0-3,.000,1-5
.167,American Football Conference - 2013 Regular Season,AFC North Team,1-1,L1,1-4,Cleveland Browns,1,7,0,.125,133,207,-74,14,0-3,.000,0-6,.000,1-1
L6,American Football Conference - 2013 Regular Season,AFC North Team,0-5,Indianapolis Colts,5,3,0,.625,192,169,23,20,3-0,1.000,4-2,.667,1-1,W1,3-2
Tennessee Titans,American Football Conference - 2013 Regular Season,AFC South Team,4,4,0,.500,166,188,-22,19,1-2,.333,3-3,.500,1-1,W1,3-2,Jacksonville Jaguars,3
5,American Football Conference - 2013 Regular Season,AFC South Team,0,.375,149,224,-75,15,2-1,.667,3-3,.500,0-2,L1,3-2,Houston Texans,1,7,0
.125,American Football Conference - 2013 Regular Season,AFC South Team,116,204,-88,11,0-3,.000,1-5,.167,0-2,L7,0-5,Kansas City Chiefs,6,2,0,.750,245
143,American Football Conference - 2013 Regular Season,AFC South Team,102,29,1-2,.333,4-2,.667,2-0,L1,3-2,Denver Broncos,6,2,0,.750,290,219,71
36,American Football Conference - 2013 Regular Season,AFC West Team,3-0,1.000,4-2,.667,2-0,W3,4-1,San Diego Chargers,4,4,0,.500,199,191,8,22,2-1
.667,American Football Conference - 2013 Regular Season,AFC West Team,3-3,.500,1-1,W2,3-2,Oakland Raiders,1,7,0,.125,157,223,-66,19,0-3,.000,1-5
.167,American Football Conference - 2013 Regular Season,AFC West Team,0-2,L3,1-4,Philadelphia Eagles,6,2,0,.750,250,223,27,29,3-0,1.000,5-1,.833,1-1
W1,American Football Conference - 2013 Regular Season,AFC West Team,4-1,Dallas Cowboys,3,5,0,.375,177,219,-42,21,3-0,1.000,3-3,.500,0-2,W1,2-3
New York Giants,National Football Conference - 2013 Regular Season,NFC East Team,3,5,0,.375,135,213,-78,15,2-1,.667,3-3,.500,0-2,W1,3-2,Washington Redskins,1
7,National Football Conference - 2013 Regular Season,NFC East Team,0,.125,156,233,-77,18,0-3,.000,0-6,.000,1-1,L6,0-5,Green Bay Packers,4,4,0
.500,National Football Conference - 2013 Regular Season,NFC East Team,214,247,-33,24,2-1,.667,3-3,.500,1-1,W2,3-2,Detroit Lions,3,5,0,.375,169
188,National Football Conference - 2013 Regular Season,NFC East Team,-19,21,1-2,.333,2-4,.333,1-1,L3,2-3,Chicago Bears,3,5,0,.375,230,278,-48
27,National Football Conference - 2013 Regular Season,NFC North Team,1-2,.333,1-5,.167,2-0,L1,2-3,Minnesota Vikings,0,7,1,.062,170,253,-83,19,0-2-1
.167,National Football Conference - 2013 Regular Season,NFC North Team,0-5-1,.083,0-2,L2,0-4-1,Carolina Panthers,5,3,0,.625,159,145,14,18,2-1,.667,4-2
.667,National Football Conference - 2013 Regular Season,NFC North Team,1-1,W1,4-1,New Orleans Saints,3,5,0,.375,142,179,-37,14,2-1,.667,3-3,.500,0-2
L3,National Football Conference - 2013 Regular Season,NFC North Team,1-4,Tampa Bay Buccaneers,1,7,0,.125,127,212,-85,13,0-3,.000,1-5,.167,0-2,L3,1-4
Atlanta Falcons,National Football Conference - 2013 Regular Season,NFC South Team,1,7,0,.125,170,239,-69,19,0-3,.000,0-6,.000,1-1,L2,1-4,San Francisco 49ers,6
2,National Football Conference - 2013 Regular Season,NFC South Team,0,.750,214,130,84,25,2-1,.667,4-2,.667,2-0,W3,4-1,Seattle Seahawks,6,2,0
.750,National Football Conference - 2013 Regular Season,NFC South Team,184,121,63,18,2-1,.667,5-1,.833,1-1,W1,4-1,Arizona Cardinals,4,4,0,.500,166
182,National Football Conference - 2013 Regular Season,NFC South Team,-16,19,1-2,.333,2-4,.333,2-0,W2,3-2,St. Louis Rams,2,6,0,.250,154,193,-39
18,National Football Conference - 2013 Regular Season,NFC West Team,0-3,.000,0-6,.000,2-0,L3,1-4
