Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5,W,L
New England Patriots,American Football Conference - 2015 Regular Season,AFC East Team,4,0,0,1.000,145,68,77,17,2-0,1.000,4-0,1.000,0-0,W4,4-0,New York Jets,2
1,American Football Conference - 2015 Regular Season,AFC East Team,0,.667,82,54,28,10,0-0,.000,1-0,1.000,1-1,W1,2-1,Miami Dolphins,1,2,0
.333,American Football Conference - 2015 Regular Season,AFC East Team,72,94,-22,10,0-2,.000,1-2,.333,0-0,W1,1-2,Buffalo Bills,1,3,0,.250,90
112,American Football Conference - 2015 Regular Season,AFC East Team,-22,12,0-1,.000,1-2,.333,0-1,L3,1-3,Cincinnati Bengals,4,0,0,1.000,118,74,44
15,American Football Conference - 2015 Regular Season,AFC North Team,1-0,1.000,3-0,1.000,1-0,W4,4-0,Pittsburgh Steelers,2,2,0,.500,98,70,28,11,0-2
.000,American Football Conference - 2015 Regular Season,AFC North Team,0-2,.000,2-0,L1,2-2,Baltimore Ravens,1,2,0,.333,83,87,-4,9,0-2,.000,1-2
.333,American Football Conference - 2015 Regular Season,AFC North Team,0-0,W1,1-2,Cleveland Browns,1,3,0,.250,91,101,-10,12,0-0,.000,1-2,.333,0-1
L3,American Football Conference - 2015 Regular Season,AFC North Team,1-3,Houston Texans,2,2,0,.500,79,69,10,8,1-1,.500,1-2,.333,1-0,W1,2-2
Jacksonville Jaguars,American Football Conference - 2015 Regular Season,AFC South Team,2,2,0,.500,86,102,-16,11,0-1,.000,2-1,.667,0-1,W1,2-2,Indianapolis Colts,1
3,American Football Conference - 2015 Regular Season,AFC South Team,0,.250,71,94,-23,9,1-0,1.000,1-2,.333,0-1,L2,1-3,Tennessee Titans,0,4,0
.000,American Football Conference - 2015 Regular Season,AFC South Team,63,97,-34,7,0-1,.000,0-3,.000,0-1,L4,0-4,Denver Broncos,3,0,0,1.000,71
43,American Football Conference - 2015 Regular Season,AFC South Team,28,6,0-0,.000,1-0,1.000,2-0,W3,3-0,Kansas City Chiefs,2,2,0,.500,109,72,37
13,American Football Conference - 2015 Regular Season,AFC West Team,0-1,.000,1-1,.500,1-1,W2,2-2,Oakland Raiders,2,2,0,.500,94,102,-8,11,0-1
.000,American Football Conference - 2015 Regular Season,AFC West Team,2-2,.500,0-0,W1,2-2,San Diego Chargers,2,2,0,.500,112,116,-4,12,0-1,.000,1-2
.333,American Football Conference - 2015 Regular Season,AFC West Team,1-0,L2,2-2,Washington Redskins,3,1,0,.750,88,77,11,10,1-0,1.000,3-0,1.000,0-1
W3,American Football Conference - 2015 Regular Season,AFC West Team,3-1,New York Giants,3,1,0,.750,109,92,17,11,2-0,1.000,3-1,.750,0-0,W3,3-1
Philadelphia Eagles,National Football Conference - 2015 Regular Season,NFC East Team,2,1,0,.667,76,44,32,8,1-1,.500,2-1,.667,0-0,W2,2-1,Dallas Cowboys,1
3,National Football Conference - 2015 Regular Season,NFC East Team,0,.250,73,108,-35,7,1-0,1.000,1-2,.333,0-1,L3,1-3,Green Bay Packers,4,0,0
1.000,National Football Conference - 2015 Regular Season,NFC East Team,116,75,41,13,0-0,.000,2-0,1.000,2-0,W4,4-0,Minnesota Vikings,3,0,0,1.000,73
40,National Football Conference - 2015 Regular Season,NFC East Team,33,8,1-0,1.000,1-0,1.000,2-0,W3,3-0,Detroit Lions,1,3,0,.250,85,128,-43
10,National Football Conference - 2015 Regular Season,NFC North Team,1-1,.500,1-2,.333,0-1,L1,1-3,Chicago Bears,1,3,0,.250,88,122,-34,8,0-2
.000,National Football Conference - 2015 Regular Season,NFC North Team,0-3,.000,1-0,L1,1-3,Carolina Panthers,4,0,0,1.000,107,81,26,12,1-0,1.000,2-0
1.000,National Football Conference - 2015 Regular Season,NFC North Team,2-0,W4,4-0,Atlanta Falcons,3,1,0,.750,119,87,32,14,0-1,.000,2-1,.667,1-0
L1,National Football Conference - 2015 Regular Season,NFC North Team,3-1,New Orleans Saints,3,1,0,.750,128,116,12,17,1-1,.500,3-1,.750,0-0,W3,3-1
Tampa Bay Buccaneers,National Football Conference - 2015 Regular Season,NFC South Team,1,2,0,.333,75,110,-35,9,0-1,.000,0-1,.000,1-1,W1,1-2,Arizona Cardinals,3
1,National Football Conference - 2015 Regular Season,NFC South Team,0,.750,126,68,58,14,1-1,.500,2-1,.667,1-0,W1,3-1,St. Louis Rams,3,1,0
.750,National Football Conference - 2015 Regular Season,NFC South Team,91,55,36,10,2-0,1.000,2-0,1.000,1-1,W2,3-1,Seattle Seahawks,2,1,0,.667,62
37,National Football Conference - 2015 Regular Season,NFC South Team,25,5,0-0,.000,2-1,.667,0-0,L1,2-1,San Francisco 49ers,2,2,0,.500,51,60,-9
4,National Football Conference - 2015 Regular Season,NFC West Team,0-1,.000,1-2,.333,1-0,L1,2-2
